author	time	parents	message	sha	changes	additions	deletions	files
Colin-Shaw2	2020-02-26 23:52:18	['614a0db36530510fa2634a841cce1c6c34501c7d', 'c676a5e07d026f75596a22ec83696819247ed63d']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	ca004bc696a0f61e6bd769a96abc01a29e399194	[]	[]	[]	[]	
Colin-Shaw2	2020-02-26 23:52:09	['45bfd663c1bbc20714dce268312c5265a6c1a76b']	more test fixes	614a0db36530510fa2634a841cce1c6c34501c7d	[4, 2, 1]	[2, 1, 1]	[2, 1, 0]	['TestResults/testTable.csv', 'src/class/TransactionCodeMaker.cpp', 'src/class/User.cpp']	
SiyavashGh	2020-02-26 23:48:03	['c676a5e07d026f75596a22ec83696819247ed63d']	minor changes	195d1b4ae8af3123db130bccebb86c2ae1ab0be0	[1]	[1]	[0]	['src/class/User.cpp']	
SiyavashGh	2020-02-26 23:39:54	['d0d33d06ba3e2e5b9863cfa71b022a927f13ff6d']	minor changes	c676a5e07d026f75596a22ec83696819247ed63d	[2]	[1]	[1]	['src/class/TransactionCodeMaker.cpp']	
Colin-Shaw2	2020-02-26 23:36:48	['a2e2d7e64c72d2bb7b61db87ffd1beaf117e1de7', 'd0d33d06ba3e2e5b9863cfa71b022a927f13ff6d']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	45bfd663c1bbc20714dce268312c5265a6c1a76b	[6, 4, 2, 4, 10, 4, 2, 2, 4, 2]	[3, 2, 1, 2, 5, 2, 1, 1, 2, 2]	[3, 2, 1, 2, 5, 2, 1, 1, 2, 0]	['Tests/AddCredit/addCredit1/transactionoutputs.txt', 'Tests/AddCredit/addCredit5/transactionoutputs.txt', 'Tests/Advertise/advert1/transactionoutputs.txt', 'Tests/Bid/bid1/transactionoutputs.txt', 'Tests/CreateNewUser/newUser1/transactionoutputs.txt', 'Tests/DeleteUser/delete1/transactionoutputs.txt', 'Tests/Login/login1/transactionoutputs.txt', 'Tests/Logout/logout1/transactionoutputs.txt', 'Tests/Refund/refund1/transactionoutputs.txt', 'testRunner.sh']	
SiyavashGh	2020-02-26 23:33:50	['89e62d2daffea9bce4867f594485a27b220cca9e']	script changes	d0d33d06ba3e2e5b9863cfa71b022a927f13ff6d	[2]	[2]	[0]	['testRunner.sh']	
SiyavashGh	2020-02-26 23:28:32	['ada361ff191c1daa762bf69cabd1cd30a0d9657f']	fixed transactiond codes	89e62d2daffea9bce4867f594485a27b220cca9e	[6, 4, 2, 4, 10, 4, 2, 2, 4]	[3, 2, 1, 2, 5, 2, 1, 1, 2]	[3, 2, 1, 2, 5, 2, 1, 1, 2]	['Tests/AddCredit/addCredit1/transactionoutputs.txt', 'Tests/AddCredit/addCredit5/transactionoutputs.txt', 'Tests/Advertise/advert1/transactionoutputs.txt', 'Tests/Bid/bid1/transactionoutputs.txt', 'Tests/CreateNewUser/newUser1/transactionoutputs.txt', 'Tests/DeleteUser/delete1/transactionoutputs.txt', 'Tests/Login/login1/transactionoutputs.txt', 'Tests/Logout/logout1/transactionoutputs.txt', 'Tests/Refund/refund1/transactionoutputs.txt']	
Colin-Shaw2	2020-02-26 23:22:41	['056297b2cbeeceb29906925a73d00c842ce43d62', 'ada361ff191c1daa762bf69cabd1cd30a0d9657f']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	a2e2d7e64c72d2bb7b61db87ffd1beaf117e1de7	[2]	[1]	[1]	['src/class/TransactionCodeMaker.cpp']	
Colin-Shaw2	2020-02-26 23:22:05	['33c6cde98eb499520ce250288e6555768e46f406']	testtable update	056297b2cbeeceb29906925a73d00c842ce43d62	[39]	[39]	[0]	['TestResults/testTable.csv']	
SiyavashGh	2020-02-26 23:20:27	['33c6cde98eb499520ce250288e6555768e46f406']	minor change	ada361ff191c1daa762bf69cabd1cd30a0d9657f	[2]	[1]	[1]	['src/class/TransactionCodeMaker.cpp']	
Colin-Shaw2	2020-02-26 23:11:20	['faeea22587fa1a3b377ad098b3595e117dd3140a']	testtable	33c6cde98eb499520ce250288e6555768e46f406	[39]	[39]	[0]	['TestResults/testTable.csv']	
Colin-Shaw2	2020-02-26 23:10:58	['a2ef895d06382411b048288047670b525366733c']	normalized line endings in output files	faeea22587fa1a3b377ad098b3595e117dd3140a	[3]	[2]	[1]	['testRunner.sh']	
Colin-Shaw2	2020-02-26 23:03:52	['fd87f3d503c7ac7ef87b4d4765fe664d6037e490']	chnged print statements in main	a2ef895d06382411b048288047670b525366733c	[39, 15]	[39, 8]	[0, 7]	['TestResults/testTable.csv', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-26 22:54:31	['ad67df55896898ad9f4e5ea54765e63b28c92b6f']	fixed login behaviour	fd87f3d503c7ac7ef87b4d4765fe664d6037e490	[4, 39, 37]	[3, 39, 35]	[1, 0, 2]	['.vscode/settings.json', 'TestResults/testTable.csv', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-26 22:12:50	['dd3cb2e5ebf6ca32baa916ef1b02c82bf8a291e2']	infinite loop counter added	ad67df55896898ad9f4e5ea54765e63b28c92b6f	[2, 6]	[2, 5]	[0, 1]	['.gitignore', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-26 22:02:07	['257f703d2e4404b59b5d472748828551618abf10']	changed default input files	dd3cb2e5ebf6ca32baa916ef1b02c82bf8a291e2	[4, 11, 2]	[2, 5, 1]	[2, 6, 1]	['TestDefaults/items.txt', 'TestDefaults/users.txt', 'testRunner.sh']	
Colin-Shaw2	2020-02-26 21:47:52	['bbcc3d5b048cfdc851922755445872e359a54d1c', '8c351d17f1e0baef2eb5e26a911dbf569dec5690']	Merge pull request #1 from Colin-Shaw2/intial-testing-fixesIntial testing fixes	257f703d2e4404b59b5d472748828551618abf10	[1, 39, 2, 19, 0, 3, 9, 0, 3, 17, 0, 2, 17, 0, 2, 25, 0, 2, 15, 0, 3, 21, 0, 3, 41, 0, 3, 53, 0, 3, 7, 0, 2, 15, 0, 3, 23, 0, 3, 61, 0, 3, 11, 0, 3, 23, 0, 3, 13, 0, 3, 7, 0, 3, 23, 0, 2, 39, 0, 3, 9, 0, 3, 13, 0, 3, 9, 0, 2, 11, 0, 2, 9, 0, 2, 13, 0, 2, 9, 0, 2, 7, 0, 2, 7, 0, 3, 7, 0, 3, 5, 0, 3, 9, 0, 1, 7, 0, 3, 15, 0, 2, 15, 0, 2, 7, 0, 2, 15, 0, 2, 27, 0, 2, 29, 0, 2, 16, 1]	[1, 39, 2, 19, 0, 2, 9, 0, 2, 17, 0, 2, 17, 0, 2, 25, 0, 2, 15, 0, 2, 21, 0, 2, 41, 0, 2, 53, 0, 2, 7, 0, 2, 15, 0, 2, 23, 0, 2, 61, 0, 2, 11, 0, 2, 23, 0, 2, 13, 0, 2, 7, 0, 2, 23, 0, 2, 39, 0, 2, 9, 0, 2, 13, 0, 2, 9, 0, 2, 11, 0, 2, 9, 0, 2, 13, 0, 2, 9, 0, 2, 7, 0, 2, 7, 0, 2, 7, 0, 2, 5, 0, 2, 9, 0, 1, 7, 0, 2, 15, 0, 2, 15, 0, 2, 7, 0, 2, 15, 0, 2, 27, 0, 2, 29, 0, 1, 4, 0]	[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 1]	['.gitignore', 'TestResults/testTable.csv', 'Tests/AddCredit/addCredit1/input.txt', 'Tests/AddCredit/addCredit1/testOutput.txt', 'Tests/AddCredit/addCredit1/testTransactions.txt', 'Tests/AddCredit/addCredit2/input.txt', 'Tests/AddCredit/addCredit2/testOutput.txt', 'Tests/AddCredit/addCredit2/testTransactions.txt', 'Tests/AddCredit/addCredit3/input.txt', 'Tests/AddCredit/addCredit3/testOutput.txt', 'Tests/AddCredit/addCredit3/testTransactions.txt', 'Tests/AddCredit/addCredit4/input.txt', 'Tests/AddCredit/addCredit4/testOutput.txt', 'Tests/AddCredit/addCredit4/testTransactions.txt', 'Tests/AddCredit/addCredit5/input.txt', 'Tests/AddCredit/addCredit5/testOutput.txt', 'Tests/AddCredit/addCredit5/testTransactions.txt', 'Tests/Advertise/advert1/input.txt', 'Tests/Advertise/advert1/testOutput.txt', 'Tests/Advertise/advert1/testTransactions.txt', 'Tests/Advertise/advert2/input.txt', 'Tests/Advertise/advert2/testOutput.txt', 'Tests/Advertise/advert2/testTransactions.txt', 'Tests/Advertise/advert3/input.txt', 'Tests/Advertise/advert3/testOutput.txt', 'Tests/Advertise/advert3/testTransactions.txt', 'Tests/Advertise/advert4/input.txt', 'Tests/Advertise/advert4/testOutput.txt', 'Tests/Advertise/advert4/testTransactions.txt', 'Tests/Advertise/advert5/input.txt', 'Tests/Advertise/advert5/testOutput.txt', 'Tests/Advertise/advert5/testTransactions.txt', 'Tests/Bid/bid1/input.txt', 'Tests/Bid/bid1/testOutput.txt', 'Tests/Bid/bid1/testTransactions.txt', 'Tests/Bid/bid2/input.txt', 'Tests/Bid/bid2/testOutput.txt', 'Tests/Bid/bid2/testTransactions.txt', 'Tests/Bid/bid3/input.txt', 'Tests/Bid/bid3/testOutput.txt', 'Tests/Bid/bid3/testTransactions.txt', 'Tests/Bid/bid4/input.txt', 'Tests/Bid/bid4/testOutput.txt', 'Tests/Bid/bid4/testTransactions.txt', 'Tests/Bid/bid5/input.txt', 'Tests/Bid/bid5/testOutput.txt', 'Tests/Bid/bid5/testTransactions.txt', 'Tests/Bid/bid6/input.txt', 'Tests/Bid/bid6/testOutput.txt', 'Tests/Bid/bid6/testTransactions.txt', 'Tests/Bid/bid7/input.txt', 'Tests/Bid/bid7/testOutput.txt', 'Tests/Bid/bid7/testTransactions.txt', 'Tests/CreateNewUser/NewUser5/input.txt', 'Tests/CreateNewUser/NewUser5/testOutput.txt', 'Tests/CreateNewUser/NewUser5/testTransactions.txt', 'Tests/CreateNewUser/newUser1/input.txt', 'Tests/CreateNewUser/newUser1/testOutput.txt', 'Tests/CreateNewUser/newUser1/testTransactions.txt', 'Tests/CreateNewUser/newUser2/input.txt', 'Tests/CreateNewUser/newUser2/testOutput.txt', 'Tests/CreateNewUser/newUser2/testTransactions.txt', 'Tests/CreateNewUser/newUser3/input.txt', 'Tests/CreateNewUser/newUser3/testOutput.txt', 'Tests/CreateNewUser/newUser3/testTransactions.txt', 'Tests/CreateNewUser/newUser4/input.txt', 'Tests/CreateNewUser/newUser4/testOutput.txt', 'Tests/CreateNewUser/newUser4/testTransactions.txt', 'Tests/DeleteUser/delete1/input.txt', 'Tests/DeleteUser/delete1/testOutput.txt', 'Tests/DeleteUser/delete1/testTransactions.txt', 'Tests/DeleteUser/delete2/input.txt', 'Tests/DeleteUser/delete2/testOutput.txt', 'Tests/DeleteUser/delete2/testTransactions.txt', 'Tests/DeleteUser/delete3/input.txt', 'Tests/DeleteUser/delete3/testOutput.txt', 'Tests/DeleteUser/delete3/testTransactions.txt', 'Tests/DeleteUser/delete4/input.txt', 'Tests/DeleteUser/delete4/testOutput.txt', 'Tests/DeleteUser/delete4/testTransactions.txt', 'Tests/DeleteUser/delete5/input.txt', 'Tests/DeleteUser/delete5/testOutput.txt', 'Tests/DeleteUser/delete5/testTransactions.txt', 'Tests/Login/login1/input.txt', 'Tests/Login/login1/testOutput.txt', 'Tests/Login/login1/testTransactions.txt', 'Tests/Login/login2/input.txt', 'Tests/Login/login2/testOutput.txt', 'Tests/Login/login2/testTransactions.txt', 'Tests/Login/login3/input.txt', 'Tests/Login/login3/testOutput.txt', 'Tests/Login/login3/testTransactions.txt', 'Tests/Login/login4/input.txt', 'Tests/Login/login4/testOutput.txt', 'Tests/Login/login4/testTransactions.txt', 'Tests/Logout/logout1/input.txt', 'Tests/Logout/logout1/testOutput.txt', 'Tests/Logout/logout1/testTransactions.txt', 'Tests/Logout/logout2/input.txt', 'Tests/Logout/logout2/testOutput.txt', 'Tests/Logout/logout2/testTransactions.txt', 'Tests/Refund/refund1/input.txt', 'Tests/Refund/refund1/testOutput.txt', 'Tests/Refund/refund1/testTransactions.txt', 'Tests/Refund/refund2/input.txt', 'Tests/Refund/refund2/testOutput.txt', 'Tests/Refund/refund2/testTransactions.txt', 'Tests/Refund/refund3/input.txt', 'Tests/Refund/refund3/testOutput.txt', 'Tests/Refund/refund3/testTransactions.txt', 'Tests/Refund/refund4/input.txt', 'Tests/Refund/refund4/testOutput.txt', 'Tests/Refund/refund4/testTransactions.txt', 'Tests/Refund/refund5/input.txt', 'Tests/Refund/refund5/testOutput.txt', 'Tests/Refund/refund5/testTransactions.txt', 'src/class/main.cpp', 'testRunner.sh', 'testTable.csv']	
SiyavashGh	2020-02-26 21:29:00	['97b97300868348e521b1ba56f858638e5bc61b7f']	fixed bid across all users	bbcc3d5b048cfdc851922755445872e359a54d1c	[5, 20, 20]	[5, 18, 18]	[0, 2, 2]	['src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp']	
SiyavashGh	2020-02-26 21:23:54	['cc264fbf212bbe43715e2d08b07a68c5c1f8963b']	added getItem function	97b97300868348e521b1ba56f858638e5bc61b7f	[15, 31, 31]	[13, 16, 31]	[2, 15, 0]	['src/class/Admin.cpp', 'src/class/Item.cpp', 'src/class/User.cpp']	
Colin-Shaw2	2020-02-26 20:27:24	['247379e78e60db3b61eaf139900fd023698d699d']	minor script changes	8c351d17f1e0baef2eb5e26a911dbf569dec5690	[2, 3]	[1, 0]	[1, 3]	['TestResults/testTable.csv', 'testRunner.sh']	
Colin-Shaw2	2020-02-25 21:31:12	['abc72dc60e23f5196200052615bb38427b0ee1ba']	output files	247379e78e60db3b61eaf139900fd023698d699d	[0, 9, 0, 17, 0, 17, 0, 25, 0, 15, 0, 21, 0, 41, 0, 53, 0, 7, 0, 15, 0, 23, 0, 61, 0, 11, 0, 23, 0, 13, 0, 7, 0, 23, 0, 39, 0, 9, 0, 13, 0, 9, 0, 11, 0, 9, 0, 13, 0, 9, 0, 7, 0, 7, 0, 7, 0, 5, 0, 9, 0, 7, 0, 15, 0, 15, 0, 7, 0, 15, 0, 27, 0, 29, 0]	[0, 9, 0, 17, 0, 17, 0, 25, 0, 15, 0, 21, 0, 41, 0, 53, 0, 7, 0, 15, 0, 23, 0, 61, 0, 11, 0, 23, 0, 13, 0, 7, 0, 23, 0, 39, 0, 9, 0, 13, 0, 9, 0, 11, 0, 9, 0, 13, 0, 9, 0, 7, 0, 7, 0, 7, 0, 5, 0, 9, 0, 7, 0, 15, 0, 15, 0, 7, 0, 15, 0, 27, 0, 29, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Tests/AddCredit/addCredit1/testTransactions.txt', 'Tests/AddCredit/addCredit2/testOutput.txt', 'Tests/AddCredit/addCredit2/testTransactions.txt', 'Tests/AddCredit/addCredit3/testOutput.txt', 'Tests/AddCredit/addCredit3/testTransactions.txt', 'Tests/AddCredit/addCredit4/testOutput.txt', 'Tests/AddCredit/addCredit4/testTransactions.txt', 'Tests/AddCredit/addCredit5/testOutput.txt', 'Tests/AddCredit/addCredit5/testTransactions.txt', 'Tests/Advertise/advert1/testOutput.txt', 'Tests/Advertise/advert1/testTransactions.txt', 'Tests/Advertise/advert2/testOutput.txt', 'Tests/Advertise/advert2/testTransactions.txt', 'Tests/Advertise/advert3/testOutput.txt', 'Tests/Advertise/advert3/testTransactions.txt', 'Tests/Advertise/advert4/testOutput.txt', 'Tests/Advertise/advert4/testTransactions.txt', 'Tests/Advertise/advert5/testOutput.txt', 'Tests/Advertise/advert5/testTransactions.txt', 'Tests/Bid/bid1/testOutput.txt', 'Tests/Bid/bid1/testTransactions.txt', 'Tests/Bid/bid2/testOutput.txt', 'Tests/Bid/bid2/testTransactions.txt', 'Tests/Bid/bid3/testOutput.txt', 'Tests/Bid/bid3/testTransactions.txt', 'Tests/Bid/bid4/testOutput.txt', 'Tests/Bid/bid4/testTransactions.txt', 'Tests/Bid/bid5/testOutput.txt', 'Tests/Bid/bid5/testTransactions.txt', 'Tests/Bid/bid6/testOutput.txt', 'Tests/Bid/bid6/testTransactions.txt', 'Tests/Bid/bid7/testOutput.txt', 'Tests/Bid/bid7/testTransactions.txt', 'Tests/CreateNewUser/NewUser5/testOutput.txt', 'Tests/CreateNewUser/NewUser5/testTransactions.txt', 'Tests/CreateNewUser/newUser1/testOutput.txt', 'Tests/CreateNewUser/newUser1/testTransactions.txt', 'Tests/CreateNewUser/newUser2/testOutput.txt', 'Tests/CreateNewUser/newUser2/testTransactions.txt', 'Tests/CreateNewUser/newUser3/testOutput.txt', 'Tests/CreateNewUser/newUser3/testTransactions.txt', 'Tests/CreateNewUser/newUser4/testOutput.txt', 'Tests/CreateNewUser/newUser4/testTransactions.txt', 'Tests/DeleteUser/delete1/testOutput.txt', 'Tests/DeleteUser/delete1/testTransactions.txt', 'Tests/DeleteUser/delete2/testOutput.txt', 'Tests/DeleteUser/delete2/testTransactions.txt', 'Tests/DeleteUser/delete3/testOutput.txt', 'Tests/DeleteUser/delete3/testTransactions.txt', 'Tests/DeleteUser/delete4/testOutput.txt', 'Tests/DeleteUser/delete4/testTransactions.txt', 'Tests/DeleteUser/delete5/testOutput.txt', 'Tests/DeleteUser/delete5/testTransactions.txt', 'Tests/Login/login1/testOutput.txt', 'Tests/Login/login1/testTransactions.txt', 'Tests/Login/login2/testOutput.txt', 'Tests/Login/login2/testTransactions.txt', 'Tests/Login/login3/testOutput.txt', 'Tests/Login/login3/testTransactions.txt', 'Tests/Login/login4/testOutput.txt', 'Tests/Login/login4/testTransactions.txt', 'Tests/Logout/logout1/testOutput.txt', 'Tests/Logout/logout1/testTransactions.txt', 'Tests/Logout/logout2/testOutput.txt', 'Tests/Logout/logout2/testTransactions.txt', 'Tests/Refund/refund1/testOutput.txt', 'Tests/Refund/refund1/testTransactions.txt', 'Tests/Refund/refund2/testOutput.txt', 'Tests/Refund/refund2/testTransactions.txt', 'Tests/Refund/refund3/testOutput.txt', 'Tests/Refund/refund3/testTransactions.txt', 'Tests/Refund/refund4/testOutput.txt', 'Tests/Refund/refund4/testTransactions.txt', 'Tests/Refund/refund5/testOutput.txt', 'Tests/Refund/refund5/testTransactions.txt']	
Colin-Shaw2	2020-02-25 21:30:54	['8127441cbd35c0d0861de366e194bb35028e2d4f']	changed script slightly	abc72dc60e23f5196200052615bb38427b0ee1ba	[39, 19, 13, 0]	[39, 19, 4, 0]	[0, 0, 9, 0]	['TestResults/testTable.csv', 'Tests/AddCredit/addCredit1/testOutput.txt', 'testRunner.sh', 'testTable.csv']	
Colin-Shaw2	2020-02-25 21:22:22	['cc264fbf212bbe43715e2d08b07a68c5c1f8963b']	changed all tests to exit the program at the end	8127441cbd35c0d0861de366e194bb35028e2d4f	[1, 2, 3, 3, 2, 2, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 1, 3, 2, 2, 2, 2, 2, 2, 1]	[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 0]	[0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]	['.gitignore', 'Tests/AddCredit/addCredit1/input.txt', 'Tests/AddCredit/addCredit2/input.txt', 'Tests/AddCredit/addCredit3/input.txt', 'Tests/AddCredit/addCredit4/input.txt', 'Tests/AddCredit/addCredit5/input.txt', 'Tests/Advertise/advert1/input.txt', 'Tests/Advertise/advert2/input.txt', 'Tests/Advertise/advert3/input.txt', 'Tests/Advertise/advert4/input.txt', 'Tests/Advertise/advert5/input.txt', 'Tests/Bid/bid1/input.txt', 'Tests/Bid/bid2/input.txt', 'Tests/Bid/bid3/input.txt', 'Tests/Bid/bid4/input.txt', 'Tests/Bid/bid5/input.txt', 'Tests/Bid/bid6/input.txt', 'Tests/Bid/bid7/input.txt', 'Tests/CreateNewUser/NewUser5/input.txt', 'Tests/CreateNewUser/newUser1/input.txt', 'Tests/CreateNewUser/newUser2/input.txt', 'Tests/CreateNewUser/newUser3/input.txt', 'Tests/CreateNewUser/newUser4/input.txt', 'Tests/DeleteUser/delete1/input.txt', 'Tests/DeleteUser/delete2/input.txt', 'Tests/DeleteUser/delete3/input.txt', 'Tests/DeleteUser/delete4/input.txt', 'Tests/DeleteUser/delete5/input.txt', 'Tests/Login/login1/input.txt', 'Tests/Login/login2/input.txt', 'Tests/Login/login3/input.txt', 'Tests/Login/login4/input.txt', 'Tests/Logout/logout1/input.txt', 'Tests/Logout/logout2/input.txt', 'Tests/Refund/refund1/input.txt', 'Tests/Refund/refund2/input.txt', 'Tests/Refund/refund3/input.txt', 'Tests/Refund/refund4/input.txt', 'Tests/Refund/refund5/input.txt', 'src/class/main.cpp', 'testTable.csv']	
Colin-Shaw2	2020-02-25 20:33:51	['f308386d0a681d71bdf16e5e8fcf10e7967f69f8']	Finished user transaction codes	cc264fbf212bbe43715e2d08b07a68c5c1f8963b	[8, 4, 4, 4, 4, 4]	[4, 2, 2, 2, 2, 2]	[4, 2, 2, 2, 2, 2]	['src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-25 20:17:43	['37fd9da7fd4b578fbd1a001689b3cfec4ea01ad6']	added bid transaction code	f308386d0a681d71bdf16e5e8fcf10e7967f69f8	[4, 4]	[2, 2]	[2, 2]	['src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp']	
Colin-Shaw2	2020-02-25 20:15:10	['1dbedd80149724ed9ed9d191ff36adec7001c6a6']	made admin specific transaction codes	37fd9da7fd4b578fbd1a001689b3cfec4ea01ad6	[60]	[53]	[7]	['src/class/Admin.cpp']	
Colin-Shaw2	2020-02-25 20:00:43	['db0ecb0915201618dc3d761b40ccc416b85999c0']	made advertise transaction codes	1dbedd80149724ed9ed9d191ff36adec7001c6a6	[2, 2, 2]	[1, 1, 1]	[1, 1, 1]	['src/class/Admin.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp']	
Colin-Shaw2	2020-02-25 19:58:58	['4cf6108f4a2f277dae32c0c3fab854ccebb7dfc5']	fixed typo	db0ecb0915201618dc3d761b40ccc416b85999c0	[2]	[1]	[1]	['src/class/TransactionCodeMaker.cpp']	
Colin-Shaw2	2020-02-25 19:57:44	['fae855cacd58647279c1e6e5c7d2f2d22a18c136']	made logout transaction code	4cf6108f4a2f277dae32c0c3fab854ccebb7dfc5	[2]	[1]	[1]	['src/class/User.cpp']	
Colin-Shaw2	2020-02-25 19:55:24	['22e53022473a623b297cc14ad8ad086475ed336a']	same change	fae855cacd58647279c1e6e5c7d2f2d22a18c136	[2]	[1]	[1]	['src/class/Admin.cpp']	
