author	time	parents	message	sha	changes	additions	deletions	files
Colin-Shaw2	2020-02-25 19:54:46	['775599408fa12ec2979341a726d67271895745c2']	MORE TRANSACTION CODE CHANGES	22e53022473a623b297cc14ad8ad086475ed336a	[4, 4, 6, 4]	[2, 2, 3, 2]	[2, 2, 3, 2]	['src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp']	
Colin-Shaw2	2020-02-25 19:45:48	['7b05edf096b36b5dcde6f065803e1f1278096e61', 'f13b6c7d77271acec227c3f9d6e7bdeaea237eef']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	775599408fa12ec2979341a726d67271895745c2	[23]	[20]	[3]	['src/class/User.cpp']	
Colin-Shaw2	2020-02-25 19:43:55	['bc60904f432fb5a326e8f5964049a24c8986f2b5']	Began changing addtransaction method	7b05edf096b36b5dcde6f065803e1f1278096e61	[19, 7, 49, 18]	[10, 0, 22, 10]	[9, 7, 27, 8]	['src/class/Admin.cpp', 'src/class/TransactionEnums.h', 'src/class/User.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-25 19:25:51	['e7ef2d913e167038708bdf0f201a41f11902bd79']	minor changes	f13b6c7d77271acec227c3f9d6e7bdeaea237eef	[22]	[14]	[8]	['src/class/User.cpp']	
SiyavashGh	2020-02-25 13:47:34	['bc60904f432fb5a326e8f5964049a24c8986f2b5']	minor edits	e7ef2d913e167038708bdf0f201a41f11902bd79	[18]	[15]	[3]	['src/class/User.cpp']	
SiyavashGh	2020-02-25 08:03:59	['67e8c56d13b1a3e68f3e9b00a51274b6785a2a1d']	fixing addCredit more	bc60904f432fb5a326e8f5964049a24c8986f2b5	[6, 26, 30, 26, 1, 3]	[0, 14, 17, 14, 1, 1]	[6, 12, 13, 12, 0, 2]	['src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-25 05:18:16	['c0b82f039111893da8e96be4ad01f916af8fde3b', 'f89a31e217c1ea7eb0eff071db721991f9793827']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	67e8c56d13b1a3e68f3e9b00a51274b6785a2a1d	[55, 6, 7, 5, 10, 179]	[17, 0, 0, 0, 8, 67]	[38, 6, 7, 5, 2, 112]	['src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-25 05:18:06	['b9b03631628771e06a1fd3c614e0e694852e426a']	updated git ignore	c0b82f039111893da8e96be4ad01f916af8fde3b	[2]	[2]	[0]	['.gitignore']	
SiyavashGh	2020-02-25 03:41:41	['b5999d1ac31853d01bf4404d8a80b3748fcc0c4c']	fixing addcredit	f89a31e217c1ea7eb0eff071db721991f9793827	[3, 6, 7, 5, 2, 8]	[2, 0, 0, 0, 1, 5]	[1, 6, 7, 5, 1, 3]	['src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-24 23:03:39	['b8ae70310e98bb4a13a6715277d5fd299d76f607']	admin classes	b5999d1ac31853d01bf4404d8a80b3748fcc0c4c	[52, 9]	[15, 7]	[37, 2]	['src/class/Admin.cpp', 'src/class/User.cpp']	
SiyavashGh	2020-02-24 22:12:09	['06dd8f3babd4a3e52f4f2d076cb2f2758a5fad3b']	Removed old methods	b8ae70310e98bb4a13a6715277d5fd299d76f607	[159]	[42]	[117]	['src/class/main.cpp']	
SiyavashGh	2020-02-24 22:05:56	['33c2cb7398893bf5fe5914b10897083c186640c4', 'b9b03631628771e06a1fd3c614e0e694852e426a']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	06dd8f3babd4a3e52f4f2d076cb2f2758a5fad3b	[24]	[9]	[15]	['testRunner.sh']	
SiyavashGh	2020-02-24 22:05:51	['2c84d0d50edd555bd9d87a5303e1171aac215784']	checking premissions	33c2cb7398893bf5fe5914b10897083c186640c4	[1, 23]	[1, 21]	[0, 2]	['src/class/User.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-24 21:49:00	['aa0d1bd1ed8731193e73c9df16124a9b435ec62f', 'f2ac418d91ef48e2c68b4750b8700b96cbd482bb']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	b9b03631628771e06a1fd3c614e0e694852e426a	[86]	[68]	[18]	['src/class/main.cpp']	
Colin-Shaw2	2020-02-24 21:48:17	['2b1e8ed368727fd6a03f4c8303f9453f6bcdc30a']	Changed shell script	aa0d1bd1ed8731193e73c9df16124a9b435ec62f	[24]	[9]	[15]	['testRunner.sh']	
SiyavashGh	2020-02-24 21:36:50	['f2ac418d91ef48e2c68b4750b8700b96cbd482bb']	commenting new methods	2c84d0d50edd555bd9d87a5303e1171aac215784	[17]	[13]	[4]	['src/class/main.cpp']	
SiyavashGh	2020-02-24 21:16:16	['fa3d60bb12204af4d70cde67339b8e35acde7e4b']	fixed states	f2ac418d91ef48e2c68b4750b8700b96cbd482bb	[29]	[29]	[0]	['src/class/main.cpp']	
SiyavashGh	2020-02-24 21:08:43	['2b1e8ed368727fd6a03f4c8303f9453f6bcdc30a']	minor changes	fa3d60bb12204af4d70cde67339b8e35acde7e4b	[57]	[39]	[18]	['src/class/main.cpp']	
Colin-Shaw2	2020-02-24 18:40:41	['7aaaf466bf383ca4d24f761c32d3a954ca0aacff']	Logout function updated	2b1e8ed368727fd6a03f4c8303f9453f6bcdc30a	[1, 8, 6, 1]	[1, 3, 3, 1]	[0, 5, 3, 0]	['.gitignore', 'src/class/User.cpp', 'src/class/main.cpp', 'src/storage/transactions.txt']	
Colin-Shaw2	2020-02-24 18:29:10	['4def9bc27b6612395258df7b76630ce8b0dc50d7']	Remove IOHandler class	7aaaf466bf383ca4d24f761c32d3a954ca0aacff	[85, 86]	[0, 68]	[85, 18]	['src/class/FileIOHandler.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-24 17:57:58	['06ca0b62aa6563765026682eb4abc5fb786ab652']	changed _ to " " in trans code	4def9bc27b6612395258df7b76630ce8b0dc50d7	[4]	[2]	[2]	['src/class/Admin.cpp']	
Colin-Shaw2	2020-02-24 17:57:33	['79629147d93997e25360cc9c660d4b2b364d4d05']	changed order of command line inputs	06ca0b62aa6563765026682eb4abc5fb786ab652	[2]	[1]	[1]	['Makefile']	
Colin-Shaw2	2020-02-24 17:32:07	['c7ba9f14d2fb59c7e3a246a53c26bfb4448d8550', 'cf450169c5c99d0ef92f66ce44f276100be2938e']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	79629147d93997e25360cc9c660d4b2b364d4d05	[4, 218, 22, 62, 4, 10]	[2, 109, 13, 58, 2, 5]	[2, 109, 9, 4, 2, 5]	['src/class/FileIOHandler.cpp', 'src/class/TransactionCodeMaker.cpp', 'src/class/User.cpp', 'src/class/main.cpp', 'src/storage/items.txt', 'src/storage/users.txt']	
Colin-Shaw2	2020-02-24 17:32:05	['603aec40c385ec01cbf0e46d758f6ab090bd35d4']	Added script to run tests and store the results	c7ba9f14d2fb59c7e3a246a53c26bfb4448d8550	[2, 3, 2, 0, 51, 1]	[2, 3, 2, 0, 51, 1]	[0, 0, 0, 0, 0, 0]	['.gitignore', 'Makefile', 'TestDefaults/items.txt', 'TestDefaults/users.txt', 'testRunner.sh', 'testTable.csv']	
SiyavashGh	2020-02-24 15:40:21	['4cac3d5f6282a83fd31162abdf66034e3f464fab']	createuser changes	cf450169c5c99d0ef92f66ce44f276100be2938e	[4, 21, 32]	[2, 12, 32]	[2, 9, 0]	['src/class/FileIOHandler.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-24 15:16:28	['ccd8f72e8605349b60d52d3221cdb9455ab65d61']	fixed user and item files	4cac3d5f6282a83fd31162abdf66034e3f464fab	[218, 4, 10]	[109, 2, 5]	[109, 2, 5]	['src/class/TransactionCodeMaker.cpp', 'src/storage/items.txt', 'src/storage/users.txt']	
SiyavashGh	2020-02-24 15:11:37	['67e695c44b65fd77a1844cab3421219043a401f1']	minor edits	ccd8f72e8605349b60d52d3221cdb9455ab65d61	[18]	[8]	[10]	['src/class/main.cpp']	
SiyavashGh	2020-02-24 15:05:29	['603aec40c385ec01cbf0e46d758f6ab090bd35d4']	main file changes	67e695c44b65fd77a1844cab3421219043a401f1	[1, 28]	[1, 26]	[0, 2]	['src/class/User.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-24 14:33:00	['8fd843d67430919b0488ae3fc8c1685423de43ba']	minor edits	603aec40c385ec01cbf0e46d758f6ab090bd35d4	[5, 1]	[4, 1]	[1, 0]	['src/class/Admin.cpp', 'src/class/User.cpp']	
SiyavashGh	2020-02-22 18:40:10	['66fb1e38f19b54f8fca02d40a274f797d61748c6']	Admin changes	8fd843d67430919b0488ae3fc8c1685423de43ba	[22]	[21]	[1]	['src/class/Admin.cpp']	
SiyavashGh	2020-02-22 18:05:07	['3b89d9c849926e1dfff6c72c4241a557a704e5ed']	more addcredit	66fb1e38f19b54f8fca02d40a274f797d61748c6	[28, 8, 8, 8, 15, 24]	[23, 5, 5, 5, 15, 12]	[5, 3, 3, 3, 0, 12]	['src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-22 14:31:07	['c142a7ec9446c501e4dca09a4f95ef9d12dd729a']	addcredit additions	3b89d9c849926e1dfff6c72c4241a557a704e5ed	[42, 24, 28, 20]	[25, 16, 18, 14]	[17, 8, 10, 6]	['src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp']	
Colin-Shaw2	2020-02-22 00:06:34	['a4c104c4038b6fde808b1775c7adb0a9732d882d']	Added class to handle IO	c142a7ec9446c501e4dca09a4f95ef9d12dd729a	[85, 66]	[85, 6]	[0, 60]	['src/class/FileIOHandler.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-21 23:59:32	['e2efb437320df1aa55d92133333356ca8764d17c']	updated make file	a4c104c4038b6fde808b1775c7adb0a9732d882d	[2]	[1]	[1]	['Makefile']	
Colin-Shaw2	2020-02-21 20:48:12	['10b544639f218b41c9a87e000fdd1c1ae669f803']	added more input handling	e2efb437320df1aa55d92133333356ca8764d17c	[20, 77]	[10, 60]	[10, 17]	['src/class/TransactionCodeMaker.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-21 18:23:01	['1f2c4f8323dbd98f5f788990478d1cdd9257dc51']	Added more input handling	10b544639f218b41c9a87e000fdd1c1ae669f803	[3, 12, 8, 8, 6, 8, 26, 66]	[2, 6, 4, 4, 3, 4, 14, 48]	[1, 6, 4, 4, 3, 4, 12, 18]	['.vscode/settings.json', 'src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/TransactionCodeMaker.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-21 18:03:09	['1eefd36c6b2b10ab8ad3b0c935e1a98402fd6086']	added more input handling	1f2c4f8323dbd98f5f788990478d1cdd9257dc51	[177]	[128]	[49]	['src/class/main.cpp']	
Colin-Shaw2	2020-02-21 17:07:52	['3473b3c2ac7d7546816b0fe68871ac45c435563d']	main will take command inputs and change its state	1eefd36c6b2b10ab8ad3b0c935e1a98402fd6086	[34]	[31]	[3]	['src/class/main.cpp']	
Colin-Shaw2	2020-02-21 16:54:14	['e05becd7d2c8165570dc859e2543ccf9cc5cdd6c']	added current user to main	3473b3c2ac7d7546816b0fe68871ac45c435563d	[11]	[7]	[4]	['src/class/main.cpp']	
Colin-Shaw2	2020-02-21 16:49:34	['cf7e72d2a52e81e4fa0d7d3a285dfd9021564e11']	added login function to main	e05becd7d2c8165570dc859e2543ccf9cc5cdd6c	[2, 1, 15, 13, 2, 16, 14, 163]	[1, 1, 11, 10, 1, 12, 7, 119]	[1, 0, 4, 3, 1, 4, 7, 44]	['Makefile', 'src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/Item.cpp', 'src/class/SellStandard.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-19 17:50:16	['8efbddd2b0e039c577ef377059de82ff87438c1a']	added state tracker to main class	cf7e72d2a52e81e4fa0d7d3a285dfd9021564e11	[3, 68]	[2, 49]	[1, 19]	['.vscode/settings.json', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-19 17:16:15	['1afbbbde0921716128dd1e1b279e2ea7cc69e347']	minor format change to main	8efbddd2b0e039c577ef377059de82ff87438c1a	[20]	[10]	[10]	['src/class/main.cpp']	
SiyavashGh	2020-02-19 00:55:15	['7c57ee488bc85932f37f8539c9c318f2e52c8551']	minor changes	1afbbbde0921716128dd1e1b279e2ea7cc69e347	[13]	[5]	[8]	['src/class/main.cpp']	
SiyavashGh	2020-02-19 00:49:01	['ecbcff87dd4e2394eb91837fc44653992d73b5ed']	main class changes	7c57ee488bc85932f37f8539c9c318f2e52c8551	[32]	[20]	[12]	['src/class/main.cpp']	
SiyavashGh	2020-02-19 00:39:04	['9bdaab57aed69682d50a1d5419f6eb78145b0681']	addition of item check	ecbcff87dd4e2394eb91837fc44653992d73b5ed	[38]	[33]	[5]	['src/class/main.cpp']	
Colin-Shaw2	2020-02-19 00:07:14	['5da8527f4f79ea902c0187e0e40adabbb417af2f']	added more comments	9bdaab57aed69682d50a1d5419f6eb78145b0681	[7, 3, 6, 3]	[7, 3, 5, 3]	[0, 0, 1, 0]	['src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp']	
Colin-Shaw2	2020-02-19 00:02:57	['925dcf0ceb679096ccc941cdbb3e241859586a67']	changed comments in buy and sell users	5da8527f4f79ea902c0187e0e40adabbb417af2f	[27, 38]	[16, 21]	[11, 17]	['src/class/BuyStandard.cpp', 'src/class/SellStandard.cpp']	
Colin-Shaw2	2020-02-18 23:59:50	['ab7ee46ee9106d78dbc73f7cb480813ebfa15c7a']	Changed comments in full standard	925dcf0ceb679096ccc941cdbb3e241859586a67	[2, 43]	[1, 26]	[1, 17]	['src/class/Admin.cpp', 'src/class/FullStandard.cpp']	
Colin-Shaw2	2020-02-18 23:52:02	['c770ce9f963ea739dc0d2eefd4e66f16feffb33a']	Reformatted comments	ab7ee46ee9106d78dbc73f7cb480813ebfa15c7a	[15]	[11]	[4]	['src/class/Admin.cpp']	
Colin-Shaw2	2020-02-18 23:51:33	['95b277a2c7555263f5542cbce70f541bdbc28a09']	Changed comments	c770ce9f963ea739dc0d2eefd4e66f16feffb33a	[2]	[1]	[1]	['src/class/User.cpp']	
Colin-Shaw2	2020-02-18 23:41:49	['e2f59754699661e5ae4714e09110b0c17841fa5a', 'f1fd9b6cd850d96492a70476d124fcc033f4db5d']	Merge branch 'master' of https://github.com/Colin-Shaw2/SQA_Project	95b277a2c7555263f5542cbce70f541bdbc28a09	[7, 2, 5]	[6, 2, 5]	[1, 0, 0]	['src/class/SellStandard.cpp', 'src/storage/items.txt', 'src/storage/users.txt']	
Colin-Shaw2	2020-02-18 23:41:45	['518164a5873eae08656b96c61539ba5b9c0f3343']	changed comments in admin	e2f59754699661e5ae4714e09110b0c17841fa5a	[82]	[43]	[39]	['src/class/Admin.cpp']	
SiyavashGh	2020-02-18 23:37:31	['c70edc3251e6ffbcbc579102ff5e3dc92a7ab57e']	items additions	f1fd9b6cd850d96492a70476d124fcc033f4db5d	[2]	[2]	[0]	['src/storage/items.txt']	
SiyavashGh	2020-02-18 23:28:27	['518164a5873eae08656b96c61539ba5b9c0f3343']	users addition	c70edc3251e6ffbcbc579102ff5e3dc92a7ab57e	[7, 5]	[6, 5]	[1, 0]	['src/class/SellStandard.cpp', 'src/storage/users.txt']	
Colin-Shaw2	2020-02-18 19:15:24	['957faa9d0dd43cc9901f8a311471f396cb03ced7']	added comments	518164a5873eae08656b96c61539ba5b9c0f3343	[3]	[3]	[0]	['src/class/TransactionEnums.h']	
Colin-Shaw2	2020-02-18 19:05:19	['29d068658a8ffcf8f82b57aa39038cb223ba653e']	Added comment at top of user class	957faa9d0dd43cc9901f8a311471f396cb03ced7	[6]	[6]	[0]	['src/class/User.cpp']	
Colin-Shaw2	2020-02-18 19:00:59	['ba2d707b5d66ab8bec4259edd6cb69c60828d818']	added more comments	29d068658a8ffcf8f82b57aa39038cb223ba653e	[2]	[2]	[0]	['src/class/User.cpp']	
Colin-Shaw2	2020-02-18 18:48:58	['2a64fb6cbbe2956f63c156fb9f573126fe25300c']	added comments to item	ba2d707b5d66ab8bec4259edd6cb69c60828d818	[28]	[21]	[7]	['src/class/Item.cpp']	
Colin-Shaw2	2020-02-18 18:48:43	['dd5d647f7f759ca8726f31eab046778d7872b0b6']	added comments	2a64fb6cbbe2956f63c156fb9f573126fe25300c	[5]	[2]	[3]	['src/class/User.cpp']	
Colin-Shaw2	2020-02-18 18:31:37	['343c1b0e1b9dda567ba0439b307a4fb8d783ad7c']	commented user class	dd5d647f7f759ca8726f31eab046778d7872b0b6	[12]	[10]	[2]	['src/class/User.cpp']	
Colin-Shaw2	2020-02-18 18:23:53	['e7ffee77b163e8d88659e9c4a0e582ff29ec581e']	added items.txt file	343c1b0e1b9dda567ba0439b307a4fb8d783ad7c	[0]	[0]	[0]	['src/storage/items.txt']	
Colin-Shaw2	2020-02-18 18:22:48	['22937da768cdde3575823bd557a1a67eafd22d9c']	minor formatting changes	e7ffee77b163e8d88659e9c4a0e582ff29ec581e	[28]	[14]	[14]	['src/class/TransactionCodeMaker.cpp']	
Colin-Shaw2	2020-02-18 18:14:34	['8e51e0e1c4d1af7108084880051b06e0016c2126']	Commented transaction code maker	22937da768cdde3575823bd557a1a67eafd22d9c	[9, 192, 2]	[7, 174, 1]	[2, 18, 1]	['src/class/Item.cpp', 'src/class/TransactionCodeMaker.cpp', 'src/class/User.cpp']	
SiyavashGh	2020-02-17 16:28:30	['273f322102918ffbebbad13680ad9e2658ae1a83']	commenting admin class	8e51e0e1c4d1af7108084880051b06e0016c2126	[46, 5]	[45, 3]	[1, 2]	['src/class/Admin.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-17 16:15:18	['c622832aaa5b4f723a31454c14ba8783665d0dea']	commenting methods in users	273f322102918ffbebbad13680ad9e2658ae1a83	[1, 4, 51, 28, 39, 25, 18]	[1, 3, 32, 24, 33, 21, 15]	[0, 1, 19, 4, 6, 4, 3]	['.gitignore', '.vscode/settings.json', 'src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-17 01:47:04	['8f71fcd1d4fe578e6b71e94ac69d7a4145a29eb9']	commenting main	c622832aaa5b4f723a31454c14ba8783665d0dea	[2, 4, 143]	[1, 4, 102]	[1, 0, 41]	['src/class/FullStandard.cpp', 'src/class/Item.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-16 15:54:52	['b72aa4cabfcee4cd7edff6de032d451725953c43']	minor fix	8f71fcd1d4fe578e6b71e94ac69d7a4145a29eb9	[2]	[1]	[1]	['src/class/main.cpp']	
Colin-Shaw2	2020-02-16 15:43:40	['d40c40b8520deeb89938e516627a8e7bedda441f']	fixed merge conflicts and errors	b72aa4cabfcee4cd7edff6de032d451725953c43	[1, 31, 6]	[1, 0, 3]	[0, 31, 3]	['src/class/FullStandard.cpp', 'src/class/TransactionCodeMaker.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-15 23:04:22	['0ffb8d491643bab612fb26527b5742fff0567dbc']	commenting users	d40c40b8520deeb89938e516627a8e7bedda441f	[5, 23, 23, 14]	[4, 16, 16, 8]	[1, 7, 7, 6]	['src/class/Admin.cpp', 'src/class/BuyStandard.cpp', 'src/class/FullStandard.cpp', 'src/class/SellStandard.cpp']	
SiyavashGh	2020-02-15 22:21:36	['520696c1dd1cbd2bb8a4575000df642943f1f3fb']	admin class comments	0ffb8d491643bab612fb26527b5742fff0567dbc	[34, 15, 11]	[20, 7, 6]	[14, 8, 5]	['src/class/Admin.cpp', 'src/class/User.cpp', 'src/class/main.cpp']	
SiyavashGh	2020-02-15 21:51:07	['283bf81c1e44663c4f798c72133c6be076a70630', 'faf87292cfe12bbda99c7c3dd7a3a555e4dd28d8']	changes to main class	520696c1dd1cbd2bb8a4575000df642943f1f3fb	[197]	[103]	[94]	['src/class/TransactionCodeMaker.cpp']	
SiyavashGh	2020-02-15 21:50:26	['92afba4477a21608b2f53a61eaf5e66580711990']	changes to main class	283bf81c1e44663c4f798c72133c6be076a70630	[10, 55]	[5, 51]	[5, 4]	['src/class/TransactionCodeMaker.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-15 20:57:05	['2a09fbb21cae7758da9ca2948f00677404aee8a6']	Refactored codemaker	faf87292cfe12bbda99c7c3dd7a3a555e4dd28d8	[11]	[4]	[7]	['src/class/TransactionCodeMaker.cpp']	
Colin-Shaw2	2020-02-15 20:39:34	['92afba4477a21608b2f53a61eaf5e66580711990']	refectored transaction code maker	2a09fbb21cae7758da9ca2948f00677404aee8a6	[201]	[91]	[110]	['src/class/TransactionCodeMaker.cpp']	
Colin-Shaw2	2020-02-15 15:24:28	['817ee119d7dab061dab9440e03f671cc9e20b697']	finished maker methods	92afba4477a21608b2f53a61eaf5e66580711990	[187]	[176]	[11]	['src/class/TransactionCodeMaker.cpp']	
Colin-Shaw2	2020-02-13 20:32:47	['3fd176d5d9b3105c5851f7fafc7adf1d9a9d645d']	added makeCreate function	817ee119d7dab061dab9440e03f671cc9e20b697	[23]	[21]	[2]	['src/class/TransactionCodeMaker.cpp']	
Colin-Shaw2	2020-02-13 20:11:25	['b451f61ec9c080458b6b8f4ee3daca69c5c2b3c2']	made addTransaction in User	3fd176d5d9b3105c5851f7fafc7adf1d9a9d645d	[2, 32]	[1, 21]	[1, 11]	['src/class/TransactionCodeMaker.cpp', 'src/class/User.cpp']	
Colin-Shaw2	2020-02-13 19:50:53	['e7cc20eb8ac19d65693b1a2d4ef9f686a790264e']	return types to string and made methodsd static	b451f61ec9c080458b6b8f4ee3daca69c5c2b3c2	[14]	[7]	[7]	['src/class/TransactionCodeMaker.cpp']	
Colin-Shaw2	2020-02-13 19:33:42	['1f43cf670fbe168da5ddd1808eb9a6073dbcfead']	added item constructor	e7cc20eb8ac19d65693b1a2d4ef9f686a790264e	[12, 4]	[10, 4]	[2, 0]	['src/class/Item.cpp', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-13 19:13:17	['fc22126fcbddbbde63414bd27649aa6aaa9459f3']	main now can accept string inputs	1f43cf670fbe168da5ddd1808eb9a6073dbcfead	[6, 14]	[6, 13]	[0, 1]	['Makefile', 'src/class/main.cpp']	
Colin-Shaw2	2020-02-13 04:20:23	['7e15b3af917bd9b2f9aedd357e2c5129ad95dda2']	added login and logout method to user	fc22126fcbddbbde63414bd27649aa6aaa9459f3	[3, 49]	[2, 28]	[1, 21]	['.vscode/settings.json', 'src/class/User.cpp']	
Colin-Shaw2	2020-02-13 04:01:21	['2171da41a14ca8d81cddc49bcb1bb88f11bae1a0']	Fixed dependacy issues code will now compile	7e15b3af917bd9b2f9aedd357e2c5129ad95dda2	[7, 13, 4, 34, 6, 43, 21]	[6, 4, 1, 9, 4, 19, 11]	[1, 9, 3, 25, 2, 24, 10]	['Makefile', 'src/class/Item.cpp', 'src/class/SellStandard.cpp', 'src/class/TransactionCodeMaker.cpp', 'src/class/TransactionEnums.h', 'src/class/User.cpp', 'src/class/main.cpp']	
